geo,year,brecha_general,tasa_stem,nace_r2,brecha_sector,country_name,gggi_eas,gggi_ggi,gggi_pos
ES,2013,17.8,11.5,S,15.8,Spain,1.0,0.73,0.65
FI,2013,18.8,12.5,B,5.4,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,B-N,18.0,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,B-S,18.5,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,B-S_X_O,18.8,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,C,12.1,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,D,15.6,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,E,6.9,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,F,5.7,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,G,22.5,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,H,10.4,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,I,11.3,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,J,13.2,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,K,35.0,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,L,18.3,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,M,16.8,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,N,13.3,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,O,15.9,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,P,15.7,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,Q,26.6,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,R,11.1,Finland,1.0,0.85,0.79
FI,2013,18.8,12.5,S,19.9,Finland,1.0,0.85,0.79
HR,2013,7.7,10.7,B,0.9,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,B-N,9.4,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,B-S,8.8,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,B-S_X_O,7.7,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,C,18.3,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,D,3.0,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,E,0.9,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,F,-28.3,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,G,20.1,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,H,9.5,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,I,12.6,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,J,19.6,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,K,12.1,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,L,13.0,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,M,16.1,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,N,-7.6,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,O,20.8,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,P,11.5,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,Q,20.3,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,R,14.1,Croatia,0.99,0.71,0.68
HR,2013,7.7,10.7,S,24.8,Croatia,0.99,0.71,0.68
HU,2013,18.4,7.0,B,-26.1,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,B-N,13.9,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,B-S,15.8,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,B-S_X_O,18.4,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,C,23.2,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,D,16.7,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,E,2.8,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,F,-12.7,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,G,14.8,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,H,-3.3,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,I,15.7,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,J,25.5,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,K,38.0,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,L,3.3,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,M,13.9,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,N,9.1,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,O,-0.8,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,P,36.0,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,Q,16.2,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,R,16.9,Hungary,0.99,0.68,0.67
HU,2013,18.4,7.0,S,10.0,Hungary,0.99,0.68,0.67
IE,2013,12.9,10.0,B-N,21.2,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,B-S,13.1,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,B-S_X_O,12.9,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,F,31.8,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,G,22.0,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,H,15.9,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,I,12.6,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,J,15.9,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,M,21.4,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,N,14.8,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,O,14.6,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,P,14.1,Ireland,1.0,0.79,0.75
IE,2013,12.9,10.0,Q,18.5,Ireland,1.0,0.79,0.75
IS,2013,19.0,10.9,B-N,16.5,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,B-S,18.5,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,B-S_X_O,19.0,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,C,19.1,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,D,12.6,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,E,4.4,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,F,-2.3,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,G,18.1,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,H,18.4,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,J,17.7,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,K,38.1,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,O,11.6,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,P,14.9,Iceland,1.0,0.86,0.82
IS,2013,19.0,10.9,Q,11.2,Iceland,1.0,0.86,0.82
IT,2013,7.0,11.4,B-N,18.9,Italy,0.99,0.7,0.57
IT,2013,7.0,11.4,B-S_X_O,7.0,Italy,0.99,0.7,0.57
IT,2013,7.0,11.4,C,18.9,Italy,0.99,0.7,0.57
IT,2013,7.0,11.4,G,18.6,Italy,0.99,0.7,0.57
IT,2013,7.0,11.4,H,6.0,Italy,0.99,0.7,0.57
